mass,temperature,luminosity,gravity,radius,lithium,age,metallicity
0.01,1608.0,-3.81,4.02,0.162,1.0,0.01,0.0
0.01,1069.0,-4.66,4.16,0.137,1.0,0.05,0.0
0.01,916.0,-4.98,4.21,0.13,1.0,0.1,0.0
0.012,1801.0,-3.58,4.07,0.167,1.0,0.01,0.0
0.012,1439.0,-4.09,4.19,0.146,1.0,0.05,0.0
0.012,1333.0,-4.25,4.22,0.141,1.0,0.1,0.0
0.012,1309.0,-4.29,4.22,0.14,1.0,0.12,0.0
0.015,2168.0,-3.14,4.05,0.192,1.0,0.01,0.0
0.015,1825.0,-3.61,4.22,0.158,1.0,0.05,0.0
0.015,1290.0,-4.37,4.37,0.132,1.0,0.1,0.0
0.015,1188.0,-4.54,4.4,0.128,1.0,0.12,0.0
0.02,2487.0,-2.7,3.97,0.243,1.0,0.01,0.0
0.02,1760.0,-3.78,4.44,0.14,1.0,0.05,0.0
0.02,1441.0,-4.21,4.53,0.127,1.0,0.1,0.0
0.02,1351.0,-4.34,4.55,0.124,1.0,0.12,0.0
0.02,901.0,-5.14,4.65,0.111,1.0,0.5,0.0
0.03,2667.0,-2.49,4.05,0.27,1.0,0.01,0.0
0.03,2201.0,-3.35,4.58,0.147,1.0,0.05,0.0
0.03,1878.0,-3.75,4.71,0.127,1.0,0.1,0.0
0.03,1782.0,-3.86,4.73,0.124,1.0,0.12,0.0
0.03,1170.0,-4.73,4.86,0.106,1.0,0.5,0.0
0.03,958.0,-5.11,4.9,0.102,1.0,1.0,0.0
0.04,2754.0,-2.42,4.17,0.272,1.0,0.01,0.0
0.04,2475.0,-3.09,4.65,0.157,1.0,0.05,0.0
0.04,2234.0,-3.41,4.8,0.132,1.0,0.1,0.0
0.04,2151.0,-3.51,4.83,0.127,1.0,0.12,0.0
0.04,1461.0,-4.36,5.01,0.104,1.0,0.5,0.0
0.04,1189.0,-4.77,5.06,0.098,1.0,1.0,0.0
0.05,2839.0,-2.3,4.2,0.294,1.0,0.01,0.0
0.05,2652.0,-2.9,4.67,0.17,1.0,0.05,0.0
0.05,2483.0,-3.18,4.84,0.14,0.999,0.1,0.0
0.05,2422.0,-3.26,4.88,0.134,0.998,0.12,0.0
0.05,1751.0,-4.06,5.11,0.103,0.954,0.5,0.0
0.05,1424.0,-4.48,5.18,0.096,0.932,1.0,0.0
0.05,907.0,-5.35,5.26,0.086,0.921,5.0,0.0
0.055,2875.0,-2.24,4.2,0.307,1.0,0.01,0.0
0.055,2713.0,-2.83,4.69,0.176,1.0,0.05,0.0
0.055,2576.0,-3.09,4.86,0.145,0.992,0.1,0.0
0.055,2519.0,-3.17,4.9,0.138,0.982,0.12,0.0
0.055,1902.0,-3.91,5.15,0.103,0.561,0.5,0.0
0.055,1550.0,-4.34,5.22,0.095,0.379,1.0,0.0
0.055,990.0,-5.21,5.32,0.085,0.284,5.0,0.0
0.06,2906.0,-2.2,4.21,0.318,1.0,0.01,0.0
0.06,2765.0,-2.76,4.69,0.183,0.999,0.05,0.0
0.06,2652.0,-3.01,4.87,0.149,0.963,0.1,0.0
0.06,2606.0,-3.09,4.91,0.142,0.913,0.12,0.0
0.06,2048.0,-3.78,5.19,0.104,0.007,0.5,0.0
0.06,1675.0,-4.21,5.27,0.094,0.0,1.0,0.0
0.06,1097.0,-5.04,5.37,0.084,0.0,5.0,0.0
0.06,971.0,-5.29,5.4,0.081,0.0,10.0,0.0
0.07,2952.0,-2.11,4.22,0.341,1.0,0.01,0.0
0.07,2846.0,-2.65,4.7,0.196,0.993,0.05,0.0
0.07,2768.0,-2.88,4.88,0.159,0.668,0.1,0.0
0.07,2737.0,-2.95,4.93,0.151,0.344,0.12,0.0
0.07,2295.0,-3.56,5.23,0.106,0.0,0.5,0.0
0.07,2012.0,-3.88,5.32,0.096,0.0,1.0,0.0
0.07,1593.0,-4.36,5.4,0.087,0.0,5.0,0.0
0.07,1552.0,-4.42,5.41,0.086,0.0,10.0,0.0
0.072,2961.0,-2.09,4.22,0.346,1.0,0.01,0.0
0.072,2860.0,-2.63,4.7,0.199,0.99,0.05,0.0
0.072,2787.0,-2.86,4.88,0.161,0.538,0.1,0.0
0.072,2758.0,-2.92,4.93,0.152,0.193,0.12,0.0
0.072,2332.0,-3.52,5.24,0.107,0.0,0.5,0.0
0.072,2089.0,-3.8,5.32,0.097,0.0,1.0,0.0
0.072,1754.0,-4.18,5.4,0.089,0.0,5.0,0.0
0.072,1744.0,-4.19,5.4,0.089,0.0,10.0,0.0
0.075,2974.0,-2.06,4.22,0.354,1.0,0.01,0.0
0.075,2881.0,-2.6,4.7,0.203,0.984,0.05,0.0
0.075,2814.0,-2.83,4.88,0.164,0.329,0.1,0.0
0.075,2787.0,-2.89,4.93,0.155,0.047,0.12,0.0
0.075,2400.0,-3.46,5.24,0.108,0.0,0.5,0.0
0.075,2185.0,-3.71,5.33,0.098,0.0,1.0,0.0
0.075,1998.0,-3.92,5.38,0.092,0.0,5.0,0.0
0.075,1998.0,-3.92,5.38,0.092,0.0,10.0,0.0
0.08,2994.0,-2.02,4.22,0.365,1.0,0.01,0.0
0.08,2911.0,-2.55,4.7,0.21,0.965,0.05,0.0
0.08,2854.0,-2.78,4.89,0.169,0.066,0.1,0.0
0.08,2831.0,-2.84,4.94,0.159,0.0,0.12,0.0
0.08,2505.0,-3.37,5.25,0.111,0.0,0.5,0.0
0.08,2358.0,-3.54,5.32,0.103,0.0,1.0,0.0
0.08,2295.0,-3.61,5.34,0.1,0.0,5.0,0.0
0.08,2297.0,-3.61,5.34,0.1,0.0,10.0,0.0
0.09,2959.0,-2.48,4.7,0.222,0.871,0.05,0.0
0.09,2920.0,-2.69,4.89,0.178,0.0,0.1,0.0
0.09,2904.0,-2.75,4.94,0.168,0.0,0.12,0.0
0.09,2678.0,-3.19,5.24,0.118,0.0,0.5,0.0
0.09,2625.0,-3.27,5.28,0.113,0.0,1.0,0.0
0.09,2621.0,-3.28,5.29,0.113,0.0,5.0,0.0
0.09,2622.0,-3.27,5.29,0.113,0.0,10.0,0.0
0.1,2971.0,-2.63,4.9,0.185,0.0,0.1,0.0
0.1,2959.0,-2.68,4.95,0.175,0.0,0.12,0.0
0.1,2809.0,-3.05,5.23,0.128,0.0,0.5,0.0
0.1,2790.0,-3.08,5.25,0.125,0.0,1.0,0.0
0.1,2791.0,-3.08,5.25,0.124,0.0,5.0,0.0
0.1,2793.0,-3.08,5.25,0.124,0.0,10.0,0.0
